DEBUG 2025-06-27 12:24:01,008 middleware 21156 28480 Usuario docente1 con grupos ['Docentes'] accediendo a core_docente
WARNING 2025-06-27 12:24:01,110 middleware 21156 28480 URL no encontrada: /core/docente/None
DEBUG 2025-06-27 12:24:01,245 middleware 21156 28480 Usuario: docente1 - URL: obtener_datos_dashboard
DEBUG 2025-06-27 12:24:04,951 middleware 21156 28480 Usuario: docente1 - URL: core_docente
DEBUG 2025-06-27 12:24:04,954 middleware 21156 28480 Usuario docente1 con grupos ['Docentes'] accediendo a core_docente
WARNING 2025-06-27 12:24:05,081 middleware 21156 28480 URL no encontrada: /core/docente/None
DEBUG 2025-06-27 12:24:05,179 middleware 21156 28480 Usuario: docente1 - URL: obtener_datos_dashboard
DEBUG 2025-06-27 12:24:12,152 middleware 21156 28480 Usuario: docente1 - URL: cerrar_sesion
INFO 2025-06-27 12:24:12,161 loguin_views 21156 28480 Logout exitoso para usuario: docente1
DEBUG 2025-06-27 12:24:12,167 middleware 21156 28480 Usuario: Anónimo - URL: loguin_index
DEBUG 2025-06-27 12:24:26,447 middleware 21156 28480 Usuario: Anónimo - URL: iniciar_sesion
INFO 2025-06-27 12:24:27,307 loguin_views 21156 28480 Login exitoso para usuario: docente1
DEBUG 2025-06-27 12:24:27,320 middleware 21156 28480 Usuario: docente1 - URL: core_docente
DEBUG 2025-06-27 12:24:27,321 middleware 21156 28480 Usuario docente1 con grupos ['Docentes'] accediendo a core_docente
WARNING 2025-06-27 12:24:27,374 middleware 21156 28480 URL no encontrada: /core/docente/None
DEBUG 2025-06-27 12:24:27,451 middleware 21156 7096 Usuario: docente1 - URL: obtener_datos_dashboard
DEBUG 2025-06-27 12:24:31,925 middleware 21156 7096 Usuario: docente1 - URL: cerrar_sesion
INFO 2025-06-27 12:24:31,939 loguin_views 21156 7096 Logout exitoso para usuario: docente1
DEBUG 2025-06-27 12:24:31,949 middleware 21156 7096 Usuario: Anónimo - URL: loguin_index
DEBUG 2025-06-27 12:24:39,146 middleware 21156 7096 Usuario: Anónimo - URL: iniciar_sesion
INFO 2025-06-27 12:24:39,985 loguin_views 21156 7096 Login exitoso para usuario: admin1
DEBUG 2025-06-27 12:24:40,006 middleware 21156 7096 Usuario: admin1 - URL: core_admin
DEBUG 2025-06-27 12:24:40,010 middleware 21156 7096 Usuario admin1 con grupos ['Administradores'] accediendo a core_admin
INFO 2025-06-27 12:24:40,015 core_views 21156 7096 Usuario admin1 accedió al dashboard admin
WARNING 2025-06-27 12:24:40,105 middleware 21156 7096 URL no encontrada: /core/admin/None
DEBUG 2025-06-27 12:24:40,151 middleware 21156 7096 Usuario: admin1 - URL: None
DEBUG 2025-06-27 12:24:40,189 middleware 21156 7096 Usuario: admin1 - URL: login
DEBUG 2025-06-27 12:24:54,963 middleware 21156 7096 Usuario: admin1 - URL: loguin_index
DEBUG 2025-06-27 12:24:54,988 middleware 21156 7096 Usuario: admin1 - URL: core_admin
DEBUG 2025-06-27 12:24:54,990 middleware 21156 7096 Usuario admin1 con grupos ['Administradores'] accediendo a core_admin
INFO 2025-06-27 12:24:54,993 core_views 21156 7096 Usuario admin1 accedió al dashboard admin
WARNING 2025-06-27 12:24:55,080 middleware 21156 7096 URL no encontrada: /core/admin/None
DEBUG 2025-06-27 12:24:55,111 middleware 21156 28480 Usuario: admin1 - URL: None
DEBUG 2025-06-27 12:24:55,143 middleware 21156 28480 Usuario: admin1 - URL: login
DEBUG 2025-06-27 12:24:55,895 middleware 21156 28480 Usuario: admin1 - URL: core_docente
WARNING 2025-06-27 12:24:55,897 middleware 21156 28480 Usuario admin1 sin permisos para core_docente. Grupos: ['Administradores'], Requeridos: ['Docentes']
DEBUG 2025-06-27 12:24:55,928 middleware 21156 28480 Usuario: admin1 - URL: loguin_index
DEBUG 2025-06-27 12:24:55,972 middleware 21156 28480 Usuario: admin1 - URL: core_admin
DEBUG 2025-06-27 12:24:55,973 middleware 21156 28480 Usuario admin1 con grupos ['Administradores'] accediendo a core_admin
INFO 2025-06-27 12:24:55,979 core_views 21156 28480 Usuario admin1 accedió al dashboard admin
WARNING 2025-06-27 12:24:56,019 middleware 21156 28480 URL no encontrada: /core/admin/None
DEBUG 2025-06-27 12:24:56,053 middleware 21156 28480 Usuario: admin1 - URL: None
DEBUG 2025-06-27 12:24:56,075 middleware 21156 28480 Usuario: admin1 - URL: login
DEBUG 2025-06-27 12:24:59,029 middleware 21156 28480 Usuario: admin1 - URL: cerrar_sesion
INFO 2025-06-27 12:24:59,045 loguin_views 21156 28480 Logout exitoso para usuario: admin1
DEBUG 2025-06-27 12:24:59,055 middleware 21156 28480 Usuario: Anónimo - URL: loguin_index
